timestamp,zh-%E4%BA%BA%E9%A1%9E%E5%85%8D%E7%96%AB%E7%BC%BA%E9%99%B7%E7%97%85%E6%AF%92,zh-%E5%82%B3%E6%9F%93%E6%80%A7%E5%96%AE%E6%A0%B8%E7%99%BD%E8%A1%80%E7%90%83%E5%A2%9E%E5%A4%9A%E7%97%87,zh-%E5%87%8F%E8%82%A5,zh-%E5%8F%91%E7%83%AD,zh-%E5%AD%90%E5%AE%AE%E9%A0%B8%E7%99%8C,zh-%E5%AE%89%E5%85%A8%E6%80%A7%E8%A1%8C%E7%82%BA,zh-%E6%83%A1%E7%97%85%E9%AB%94%E8%B3%AA,zh-%E6%85%A2%E7%97%85%E6%AF%92%E5%B1%AC,zh-%E6%8A%97%E5%8F%8D%E8%BD%89%E9%8C%84%E7%97%85%E6%AF%92%E8%97%A5%E7%89%A9,zh-%E6%8B%89%E7%B1%B3%E5%A4%AB%E5%AE%9A,zh-%E7%96%B9,zh-%E8%89%BE%E6%BB%8B%E7%97%85,zh-%E8%9B%8B%E7%99%BD%E9%85%B6%E6%8A%91%E5%88%B6%E5%89%82,zh-%E9%80%86%E8%BD%AC%E5%BD%95%E7%97%85%E6%AF%92,zh-%E9%80%86%E8%BD%AC%E5%BD%95%E9%85%B6%E6%8A%91%E5%88%B6%E5%89%82,zh-%E9%BD%90%E5%A4%9A%E5%A4%AB%E5%AE%9A,zh-HIV%E6%AA%A2%E6%B8%AC,zh
2007-12-14 15:00:00,2,0,0,1,2,2,0,0,0,0,0,2,0,0,0,0,1,67315
2007-12-14 16:00:00,0,0,0,0,2,10,0,0,0,0,0,2,0,0,0,1,0,80231
2007-12-14 17:00:00,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,76555
2007-12-14 18:00:00,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,61621
2007-12-14 19:00:00,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47232
2007-12-14 20:00:00,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,28773
2007-12-14 21:00:00,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,33247
2007-12-14 22:00:00,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,34209
2007-12-14 23:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33494
2007-12-15 00:00:00,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,32737
2007-12-15 01:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35650
2007-12-15 02:00:00,4,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,38389
2007-12-15 03:00:00,1,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,42937
2007-12-15 04:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,48473
2007-12-15 05:00:00,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,50639
2007-12-15 06:00:00,0,0,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,53123
2007-12-15 07:00:00,1,0,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,55414
2007-12-15 08:00:00,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,55480
2007-12-15 09:00:00,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,54418
2007-12-15 10:00:00,1,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,55869
2007-12-15 11:00:00,2,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,77300
2007-12-15 12:00:00,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,70333
2007-12-15 13:00:00,2,0,0,0,5,0,0,0,0,0,0,5,0,1,0,0,1,78354
2007-12-15 14:00:00,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,66735
2007-12-15 15:00:00,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,1,84520
2007-12-15 16:00:00,4,0,0,0,3,2,0,0,0,1,0,4,0,0,0,0,0,94621
2007-12-15 17:00:00,1,0,0,0,3,3,0,0,1,0,0,1,1,0,0,0,0,77499
2007-12-15 18:00:00,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,46039
2007-12-15 19:00:00,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,46847
2007-12-15 20:00:00,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,33118
2007-12-15 21:00:00,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,25362
2007-12-15 22:00:00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,27639
2007-12-15 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30841
2007-12-16 00:00:00,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27234
2007-12-16 01:00:00,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,30876
2007-12-16 02:00:00,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,37053
2007-12-16 03:00:00,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,43892
2007-12-16 04:00:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,47639
2007-12-16 05:00:00,3,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,50051
2007-12-16 06:00:00,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,52202
2007-12-16 07:00:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,55428
2007-12-16 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53787
2007-12-16 09:00:00,2,0,0,0,3,2,0,1,1,0,0,1,0,0,0,0,0,56847
2007-12-16 10:00:00,2,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,63837
2007-12-16 11:00:00,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,1,67855
2007-12-16 12:00:00,3,0,1,0,2,0,1,0,0,0,0,2,1,0,0,0,0,76698
2007-12-16 13:00:00,1,0,0,0,1,3,1,0,0,0,0,3,2,0,0,0,0,88013
2007-12-16 14:00:00,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,73418
2007-12-16 15:00:00,3,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,80366
2007-12-16 16:00:00,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,88582
2007-12-16 17:00:00,0,0,1,0,2,0,0,0,0,0,0,5,0,2,0,1,0,94659
2007-12-16 18:00:00,0,0,1,2,2,1,0,0,1,0,0,4,0,0,0,0,0,61814
2007-12-16 19:00:00,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,45543
2007-12-16 20:00:00,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,29374
2007-12-16 21:00:00,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,27531
2007-12-16 22:00:00,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,26456
2007-12-16 23:00:00,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,28466
2007-12-17 00:00:00,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,28671
2007-12-17 01:00:00,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,34975
2007-12-17 02:00:00,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,45518
2007-12-17 03:00:00,1,0,0,1,3,0,0,0,0,0,0,2,0,1,0,0,0,68041
2007-12-17 04:00:00,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,68388
2007-12-17 05:00:00,2,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,50080
2007-12-17 06:00:00,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,58123
2007-12-17 07:00:00,4,0,0,0,5,1,0,0,1,0,0,3,0,0,0,0,0,62400
2007-12-17 08:00:00,6,0,0,0,2,0,0,1,0,0,0,33,0,1,0,0,0,53850
2007-12-17 09:00:00,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,54976
2007-12-17 10:00:00,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,55446
2007-12-17 11:00:00,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,67464
2007-12-17 12:00:00,2,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,69276
2007-12-17 13:00:00,7,0,0,0,3,4,0,0,0,1,0,2,2,0,0,0,0,86043
2007-12-17 14:00:00,0,0,0,0,3,1,0,0,1,0,0,6,0,0,0,0,0,76421
2007-12-17 15:00:00,1,0,4,0,1,2,0,0,0,0,0,5,0,2,0,0,0,78894
2007-12-17 16:00:00,5,0,0,2,4,1,1,0,0,0,0,5,0,2,0,0,0,88276
2007-12-17 17:00:00,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,78868
2007-12-17 18:00:00,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,58273
2007-12-17 19:00:00,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,42793
2007-12-17 20:00:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,39212
2007-12-17 21:00:00,2,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,36974
2007-12-17 22:00:00,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,41041
2007-12-17 23:00:00,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,33425
2007-12-18 00:00:00,0,0,1,1,1,0,0,0,0,0,0,3,0,0,1,1,0,32410
2007-12-18 01:00:00,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,40159
2007-12-18 02:00:00,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,47290
2007-12-18 03:00:00,1,0,0,1,1,2,0,0,0,1,0,2,0,0,0,0,0,53730
2007-12-18 04:00:00,5,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,55371
2007-12-18 05:00:00,2,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,52268
2007-12-18 06:00:00,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,50654
2007-12-18 07:00:00,9,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,62822
2007-12-18 08:00:00,0,0,0,1,0,4,0,0,1,0,0,3,0,0,0,0,1,55945
2007-12-18 09:00:00,5,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,55077
2007-12-18 10:00:00,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,55909
2007-12-18 11:00:00,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,68340
2007-12-18 12:00:00,2,0,0,0,3,3,0,0,0,0,0,2,0,1,1,1,0,76316
2007-12-18 13:00:00,2,0,0,2,6,1,0,0,0,0,0,3,1,0,0,0,0,83294
2007-12-18 14:00:00,4,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,69861
2007-12-18 15:00:00,1,0,0,0,6,2,0,0,0,0,0,5,0,0,0,0,0,77476
2007-12-18 16:00:00,1,0,0,0,4,0,0,1,0,2,0,6,0,0,0,0,1,92749
2007-12-18 17:00:00,2,0,0,0,5,2,1,0,1,0,0,2,0,2,0,0,0,81713
2007-12-18 18:00:00,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,55380
2007-12-18 19:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45897
2007-12-18 20:00:00,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,46452
2007-12-18 21:00:00,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,45527
2007-12-18 22:00:00,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,61843
2007-12-18 23:00:00,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,41853
2007-12-19 00:00:00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,29443
2007-12-19 01:00:00,0,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0,35934
2007-12-19 02:00:00,2,0,1,0,2,0,0,0,0,0,0,9,0,0,0,0,0,44801
2007-12-19 03:00:00,2,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,51404
2007-12-19 04:00:00,2,0,0,0,2,5,0,0,0,0,0,3,0,0,0,0,0,56184
2007-12-19 05:00:00,1,0,0,0,3,0,0,0,0,0,0,2,0,4,0,0,0,49135
2007-12-19 06:00:00,4,0,0,0,4,1,0,0,1,0,0,7,0,0,0,0,0,53636
2007-12-19 07:00:00,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,55704
2007-12-19 08:00:00,0,0,1,0,5,0,1,0,0,0,0,2,0,1,0,0,0,53979
2007-12-19 09:00:00,5,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,53214
2007-12-19 10:00:00,0,0,0,0,5,1,0,0,0,0,0,3,0,0,0,0,0,53689
2007-12-19 11:00:00,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,64373
2007-12-19 12:00:00,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,75409
2007-12-19 13:00:00,2,0,1,0,4,1,0,0,1,0,0,2,1,2,0,0,0,81133
2007-12-19 14:00:00,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,67405
2007-12-19 15:00:00,0,0,0,0,8,0,0,0,1,0,0,4,0,0,0,0,1,74842
2007-12-19 16:00:00,9,0,1,2,3,0,1,0,0,3,0,5,0,0,0,0,1,94725
2007-12-19 17:00:00,4,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,94349
2007-12-19 18:00:00,1,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,64935
2007-12-19 19:00:00,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,51912
2007-12-19 20:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41723
2007-12-19 21:00:00,1,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,43990
2007-12-19 22:00:00,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,38566
2007-12-19 23:00:00,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,31463
2007-12-20 00:00:00,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,26629
2007-12-20 01:00:00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,32882
2007-12-20 02:00:00,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,43470
